AreaCode,AreaName,ElementName,ItemCode,ItemName,,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
5100,Africa,Yield,656,"Coffee, green",,3663.29,4155.72,3727.14,3987.58,3525.55,3962.09,4124.24,4237.29,4023.76,4149.26,4256.38,3879.81,4169.14,3824.46,3940.36,3383.91,3489.34,3616.42,3956.1,3619.03,3437.1,3291.05,3742.26,4064.51,4020.53,3885.14,4111.5,3866.24,4005.64,4154.29,3737.51,4306.29,4177.83,4805.69,4567.43,4750.55,5015.94,5043.57,4984.73,5436.5,4338.34,4272.31,4332.69,4382.66,4107.41,4402.34,4224.87,4669.28,5071.66,5140.53,4667.25
5200,Americas,Yield,656,"Coffee, green",,4053.37,3562.59,5654.45,4258.34,5044.12,4402.07,4921.92,4180.44,5620.81,5574.91,4800.73,6093.79,5464.36,4555.71,5229.48,5645.18,5673.38,5043.04,6666.03,5506.51,6410.74,5944.06,6410.21,5193.47,6639.43,5447.51,5463.55,5989.33,6128.82,6326.69,5931.09,5974.4,5990.06,6729.06,6291.32,7079.72,6701.42,7638.62,7185.91,8480.47,7272.35,8035.7,7445.38,8398.34,7976.63,9035.65,7846.82,8742.68,8659.41,9519.97,9308.91
5300,Asia,Yield,656,"Coffee, green",,5435.24,5891.52,5781.03,5747.41,5945.09,5665.92,6404.94,5980.81,6560.06,5864.89,6295.34,6256.1,6702.32,6238.78,6485.97,7101.88,6792.46,7143,6809.48,7029.33,6582.28,5939.65,6463.27,6126.57,6845.22,6092.97,6952.62,6301.83,6512.08,6807.01,6675.1,7401.04,7257.28,7672.77,8101.92,8200.29,8539.46,7934.55,8052.6,7549.79,7758.36,8384.33,8165.49,8714.16,9867.51,9133.91,9284.88,9440.48,9815.43,11479.76,11066.28
5500,Oceania,Yield,656,"Coffee, green",,5426.15,6677.94,7313.71,7670.4,8325.56,7063.02,9686.35,10366.3,10292.41,10367.19,11891.55,10897.58,11610.33,9991.99,8842.87,10375.42,11419.72,12602.63,11455.9,9215.29,11828.61,9392.56,11873.33,9366.52,14458.5,15134.14,15749.83,10631.1,8462.23,10837.44,15322.5,13566.39,11797.08,11149.7,7400.14,6958.29,9505.83,11902.99,9583.19,9268.15,9864.81,13268.77,11653.66,9258.73,10513.85,11151.66,10919.51,10612.68,11746.37,8208.82,8554.17
